IP Address,Packets
2402:3a80:4661:3657:d814:2a9e:bba9:195a,15130
2404:6800:4009:820::200e,2371
2606:50c0:8003::215,1798
2001:4860:482b:7700::,1276
2606:4700:4408::ac40:9bd1,460
2404:6800:4000:1010::5e,153
2402:3a80:c000:5::e,146
2404:6800:4000:100c::71,138
2001:4860:4802:34::9d,112
192.168.43.152,99
192.168.43.1,94
64:ff9b::14cf:4952,74
2404:6800:4000:1010::5f,73
2404:6800:4009:815::200e,67
2402:3a80:4661:3657::e0,61
2404:6800:4009:82b::2003,56
2404:6800:4000:1015::5f,51
2607:f8b0:4000:11::6,50
2404:6800:4000:1017::84,49
2404:6800:4000:100e::84,43
2606:4700:4403::ac40:94eb,37
2404:6800:4000:101d::9d,37
2001:4860:4802:38::223,34
2404:6800:4000:1015::71,31
2404:6800:4003:c03::77,30
2404:6800:4000:1017::5f,28
2404:6800:4000:1010::8b,28
2404:6800:4000:101d::5e,27
2404:6800:4000:100c::9b,26
2404:6800:4000:1017::61,22
2404:6800:4000:101d::5f,22
2404:6800:4000:1017::94,21
2404:6800:4000:1025::5e,19
2404:6800:4000:1010::64,18
2404:6800:4009:820::2003,17
64:ff9b::8efa:869a,15
2404:6800:4000:1006::5e,15
2404:6800:4000:1025::54,14
2404:6800:4009:81f::200e,14
2404:6800:4000:100c::88,14
2404:6800:4009:809::2003,13
2404:6800:4000:1010::9c,12
64:ff9b::8c52:7115,12
2001:4860:4802:32::223,11
2404:6800:4000:1025::65,10
2a04:4e42:31::347,10
2600:1901:0:47fc::,10
2404:6800:4000:1025::5f,9
2404:6800:4000:100e::64,9
2606:4700:440d::ac40:9167,9
2a07:7800::212,8
2603:1061:14:153::1,8
224.0.0.251,6
ff02::fb,6
2606:50c0:8002::154,5
fe80::70dd:a8ff:fe0a:4b71,4
2404:6800:4013:813::bc,3
2606:4700:7::1fd,2
2606:4700:20::681a:af0,2
2404:6800:4009:814::2003,2
173.194.24.38,1
2603:1040:a06:6::,1
