Port,Packets
443,7516
57431,3229
59115,2640
53438,2273
50676,1889
58461,1178
51168,1109
56631,369
57697,206
57241,159
53,152
63149,115
56227,85
65179,72
58140,71
52151,57
62178,49
50482,46
64916,39
61971,37
52126,37
51288,36
56698,34
51490,33
57236,30
57642,29
57587,29
56921,29
64320,29
49229,26
54334,26
64686,25
58610,25
50667,25
58180,24
63373,23
50373,23
57480,23
63567,22
60334,21
62873,21
52641,20
56411,20
63081,20
54661,19
58665,19
54483,18
58539,18
51852,18
55678,18
62786,17
60230,17
62145,17
59406,17
51531,16
49855,16
49312,16
56263,15
50333,15
51780,15
63787,14
54233,14
59058,14
55605,14
57118,14
60835,14
63619,14
62499,14
51718,13
52644,13
64800,13
49993,13
65424,12
54945,12
52200,12
53235,12
50254,12
56373,12
63969,12
65261,12
5353,12
58283,11
49404,11
51256,11
62907,11
60023,11
49671,11
60604,10
51327,10
56100,10
60985,9
52836,9
53389,9
50734,9
63524,9
51140,9
54189,8
56787,8
61739,8
54191,8
58428,8
63185,8
58387,8
60404,8
54960,8
58463,7
57676,7
54732,7
63801,7
64745,7
64301,7
57005,7
61433,7
52091,6
50946,6
62175,6
56199,5
59021,5
61630,5
80,4
64622,4
5228,3
55078,3
63768,3
49376,3
56572,3
55430,3
50565,3
51951,3
62628,3
54263,3
57643,3
61269,3
60916,3
63620,3
62491,3
61748,3
64446,3
50050,3
63990,2
51476,2
60566,2
54572,2
63997,2
56590,2
59161,2
63735,2
59499,2
63433,2
56532,2
57879,2
56523,2
63779,2
62533,2
58269,2
63408,2
60036,2
53118,2
61323,2
53909,2
53405,2
50343,2
53803,2
59791,2
64136,2
63289,2
62530,2
53506,2
53498,2
63492,2
53149,2
56637,2
63808,2
51170,1
51172,1
51173,1
49443,1
