IP Address,Packets
2402:3a80:4661:3657:d814:2a9e:bba9:195a,7587
2404:6800:4009:820::200e,5719
2606:50c0:8003::215,3146
2001:4860:482b:7700::,2781
2606:4700:4408::ac40:9bd1,1117
2402:3a80:c000:5::e,369
2404:6800:4000:1010::5e,254
2404:6800:4000:100c::71,191
2001:4860:4802:34::9d,153
64:ff9b::14cf:4952,123
2404:6800:4000:1010::5f,109
192.168.43.152,101
192.168.43.1,94
2404:6800:4009:82b::2003,83
2404:6800:4009:815::200e,70
2404:6800:4000:1015::5f,62
2402:3a80:4661:3657::e0,61
2404:6800:4000:1017::84,61
2607:f8b0:4000:11::6,57
2404:6800:4000:101d::9d,55
2606:4700:4403::ac40:94eb,50
2001:4860:4802:38::223,42
2404:6800:4000:1017::5f,41
2404:6800:4000:1010::8b,40
2404:6800:4000:1015::71,39
2404:6800:4003:c03::77,34
2404:6800:4000:100c::9b,34
2404:6800:4000:101d::5e,33
2404:6800:4000:1017::61,29
2404:6800:4000:1017::94,26
2404:6800:4000:101d::5f,25
2404:6800:4000:1010::64,23
64:ff9b::8efa:869a,20
2404:6800:4000:1025::5e,20
2404:6800:4000:1025::54,19
2404:6800:4009:820::2003,19
2404:6800:4000:100c::88,18
2404:6800:4000:1006::5e,17
2404:6800:4009:81f::200e,17
2404:6800:4009:809::2003,17
2404:6800:4000:1010::9c,16
2001:4860:4802:32::223,16
2404:6800:4000:1025::65,14
64:ff9b::8c52:7115,14
2404:6800:4000:100e::84,12
2a04:4e42:31::347,12
2404:6800:4000:1025::5f,11
2600:1901:0:47fc::,10
2603:1061:14:153::1,9
2606:50c0:8002::154,9
2606:4700:440d::ac40:9167,8
2404:6800:4000:100e::64,7
2a07:7800::212,7
fe80::8678:6477:b2b:881f,6
173.194.24.38,5
fe80::70dd:a8ff:fe0a:4b71,4
2404:6800:4013:813::bc,3
2606:4700:7::1fd,1
2606:4700:20::681a:af0,1
2404:6800:4009:814::2003,1
2603:1040:a06:6::,1
